id,availability,availability_date
BUNK-POLA-WHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-POLA-WHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-POLA-WHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-POLA-GREY-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-POLA-GREY-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-POLA-GREY-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-MINI-WHITE-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-MINI-WHITE-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-MINI-WHITE-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-MINI-GREY-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-MINI-GREY-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-MINI-GREY-BM,backorder,2026-06-01T00:00:00+00:00
LOFT-OTYLIA-GREY-NM,backorder,2026-06-01T00:00:00+00:00
LOFT-OTYLIA-GREY-FM,backorder,2026-06-01T00:00:00+00:00
LOFT-OTYLIA-GREY-BM,backorder,2026-06-01T00:00:00+00:00
LOFT-OTYLIA-WHITE-NM,backorder,2026-06-01T00:00:00+00:00
LOFT-OTYLIA-WHITE-FM,backorder,2026-06-01T00:00:00+00:00
LOFT-OTYLIA-WHITE-BM,backorder,2026-06-01T00:00:00+00:00
LOFT-MIA-PINE-NM,backorder,2026-06-01T00:00:00+00:00
LOFT-MIA-PINE-FM,backorder,2026-06-01T00:00:00+00:00
LOFT-MIA-PINE-BM,backorder,2026-06-01T00:00:00+00:00
LOFT-MIA-GREY-NM,backorder,2026-06-01T00:00:00+00:00
LOFT-MIA-GREY-FM,backorder,2026-06-01T00:00:00+00:00
LOFT-MIA-GREY-BM,backorder,2026-06-01T00:00:00+00:00
LOFT-LAURA-PINE-NM,backorder,2026-06-01T00:00:00+00:00
LOFT-LAURA-PINE-FM,backorder,2026-06-01T00:00:00+00:00
LOFT-LAURA-PINE-BM,backorder,2026-06-01T00:00:00+00:00
LOFT-LAURA-GREY-NM,backorder,2026-06-01T00:00:00+00:00
LOFT-LAURA-GREY-FM,backorder,2026-06-01T00:00:00+00:00
LOFT-LAURA-GREY-BM,backorder,2026-06-01T00:00:00+00:00
LOFT-LAURA-WHITE-NM,backorder,2026-06-01T00:00:00+00:00
LOFT-LAURA-WHITE-FM,backorder,2026-06-01T00:00:00+00:00
LOFT-LAURA-WHITE-BM,backorder,2026-06-01T00:00:00+00:00
LOFT-GLORIA-PINE-NM,backorder,2026-06-01T00:00:00+00:00
LOFT-GLORIA-PINE-FM,backorder,2026-06-01T00:00:00+00:00
LOFT-GLORIA-PINE-BM,backorder,2026-06-01T00:00:00+00:00
LOFT-GLORIA-GREY-NM,backorder,2026-06-01T00:00:00+00:00
LOFT-GLORIA-GREY-FM,backorder,2026-06-01T00:00:00+00:00
LOFT-GLORIA-GREY-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-LEA-GREY-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-LEA-GREY-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-LEA-GREY-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-DALIA-GREY-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-DALIA-GREY-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-DALIA-GREY-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-DALIA-PINE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-DALIA-PINE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-DALIA-PINE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-ALEX-PINE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-ALEX-PINE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-ALEX-PINE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-ALEX-GREY-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-ALEX-GREY-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-ALEX-GREY-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-TED-WHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-TED-WHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEWERYN-WHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEWERYN-WHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEWERYN-GRAPHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEWERYN-GRAPHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEWERYN-PINE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEWERYN-PINE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEWERYN-WHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEWERYN-GRAPHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEWERYN-PINE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEWERYN-GREY-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEWERYN-GREY-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEWERYN-GREY-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-TOMI-WHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-TOMI-WHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-TOMI-GRAPHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-TOMI-GRAPHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-TOMI-PINE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-TOMI-PINE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-TOMI-WHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-TOMI-GRAPHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-TOMI-PINE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-VIKI-WHITE-L-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-VIKI-WHITE-L-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-VIKI-GRAPHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-VIKI-GRAPHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-VIKI-PINE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-VIKI-PINE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-VIKI-WHITE-L-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-VIKI-GRAPHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-VIKI-PINE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-VIKI-GREY-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-VIKI-GREY-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-VIKI-GREY-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEBUS-WHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEBUS-WHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEBUS-GRAPHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEBUS-GRAPHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEBUS-PINE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEBUS-PINE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEBUS-WHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEBUS-GRAPHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-SEBUS-PINE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-NEMO-WHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-NEMO-WHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-NEMO-GRAPHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-NEMO-GRAPHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-NEMO-PINE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-NEMO-PINE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-NEMO-GRAPHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-NEMO-PINE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-NEMO-GREY-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-NEMO-GREY-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-NEMO-GREY-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-MONIKA-WHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-MONIKA-WHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-MONIKA-GRAPHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-MONIKA-GRAPHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-MONIKA-PINE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-MONIKA-PINE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-MONIKA-GRAPHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-MONIKA-PINE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-KONRAD-PINE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-KONRAD-PINE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-KONRAD-PINE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-KLARA-WHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-KLARA-WHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-KLARA-GRAPHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-KLARA-GRAPHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-KLARA-PINE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-KLARA-PINE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-KLARA-WHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-KLARA-GRAPHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-KLARA-PINE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-IGNA-WHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-IGNA-GREY-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-IGNA-GREY-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-IGNA-WHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-IGNA-GRAPHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-IGNA-GRAPHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-IGNAS-PINE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-IGNAS-PINE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-IGNA-WHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-IGNA-GREY-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-IGNA-GRAPHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-IGNAS-PINE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-GABI-WHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-GABI-WHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-GABI-GREY-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-GABI-GREY-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-GABI-GREY-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-GABI-GRAPHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-GABI-GRAPHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-GABI-GRAPHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-GABI-PINE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-GABI-PINE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-GABI-PINE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-DAVID-WHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-DAVID-GREY-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-DAVID-GRAPHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-DAVID-WHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-DAVID-GREY-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-DAVID-GRAPHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-DAVID-WHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-DAVID-GREY-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-DAVID-GRAPHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-EMILY-WHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-EMILY-GREY-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-EMILY-GRAPHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-EMILY-GREY-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-EMILY-GRAPHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-EMILY-GREY-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-EMILY-GRAPHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-BLANKA-WHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-BLANKA-PINE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-BLANKA-PINE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-BLANKA-PINE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-ALAN-WHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-ALAN-WHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-ALAN-GRAPHITE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-ALAN-GRAPHITE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-ALAN-PINE-R-NM,backorder,2026-06-01T00:00:00+00:00
BUNK-ALAN-PINE-R-FM,backorder,2026-06-01T00:00:00+00:00
BUNK-ALAN-WHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-ALAN-GRAPHITE-R-BM,backorder,2026-06-01T00:00:00+00:00
BUNK-ALAN-PINE-R-BM,backorder,2026-06-01T00:00:00+00:00
BED CONCEPT BC-14 G-MAT,backorder,2026-06-01T00:00:00+00:00
BED CONCEPT BC-14 OA,backorder,2026-06-01T00:00:00+00:00
BED CONCEPT BC-14 OA-MAT,backorder,2026-06-01T00:00:00+00:00
BED CONCEPT BC-14 WM,backorder,2026-06-01T00:00:00+00:00
BED CONCEPT BC-14 WM-MAT,backorder,2026-06-01T00:00:00+00:00
BED CONCEPT BC-14p WG,backorder,2026-06-01T00:00:00+00:00
